Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Eswatini,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.62,0.62,0.62,0.61,0.6,0.59,0.58,0.57,0.57,0.56,0.6
Fiji,no data,no data,no data,no data,no data,no data,no data,0.51,0.51,0.45,0.47,0.49,0.48,0.49,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42
Finland,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07
France,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.14,0.13,0.13,0.12,0.12,0.09,0.08
Gabon,0.58,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.57,0.57,0.56,0.55,0.53,0.53,0.53,0.53,0.52,0.52,0.51
"Gambia, The",0.69,0.69,0.69,0.7,0.7,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.67,0.63,0.62,0.62,0.62,0.63,0.63,0.64,0.64,0.64,0.63,0.63
Germany,no data,no data,no data,no data,no data,no data,no data,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.07,0.06,0.05,0.04
Ghana,no data,no data,no data,no data,no data,no data,no data,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.59,0.58,0.58,0.57,0.59,0.58,0.58,0.57,0.56,0.55
Greece,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.22,0.18,0.19,0.19,0.18,0.18,0.16,0.16,0.16,0.15,0.14
Guatemala,0.64,0.63,0.62,0.62,0.61,0.6,0.59,0.59,0.58,0.61,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.55,0.55,0.55,0.54,0.53,0.53,0.53
Guyana,0.5,0.5,0.51,0.51,0.51,0.52,0.52,0.53,0.53,0.54,0.54,0.54,0.54,0.54,0.52,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51
Haiti,no data,no data,no data,no data,no data,no data,no data,0.65,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.62,0.65,0.61,0.61,0.61,0.55,0.6,0.6,0.59
Honduras,0.63,0.63,0.62,0.62,0.61,0.61,0.59,0.59,0.58,0.57,0.57,0.57,0.6,0.59,0.59,0.51,0.51,0.5,0.5,0.51,0.51,0.5,0.5,0.5
Hungary,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.23,0.22
Iceland,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.08
India,0.72,0.71,0.71,0.7,0.7,0.69,0.68,0.68,0.66,0.66,0.65,0.65,0.64,0.63,0.63,0.62,0.62,0.61,0.6,0.59,0.59,0.58,0.57,0.57
Indonesia,0.6,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.56,0.57,0.58,0.58,0.57,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.5,0.5,0.49,0.49
Iran,0.75,0.73,0.71,0.69,0.68,0.66,0.64,0.62,0.61,0.59,0.59,0.58,0.55,0.54,0.53,0.52,0.51,0.51,0.54,0.54,0.53,0.53,0.52,0.52
Iraq,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.63,0.6,0.58,0.57,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54
Ireland,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.16,0.14,0.13,0.13
Israel,0.28,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.13,0.12,0.11,0.09
Italy,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.14,0.14,0.12,0.11,0.1,0.1,0.09,0.06
Jamaica,0.54,0.52,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44
Japan,0.3,0.28,0.26,0.24,0.23,0.21,0.2,0.2,0.2,0.2,0.17,0.17,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.13,0.13,0.14,0.16,0.16
Jordan,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.66,0.65,0.58,0.58,0.57,0.56,0.53,0.53,0.52,0.49,0.48,0.48,0.47
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,0.41,0.4,0.4,0.4,0.39,0.37,0.37,0.36,0.35,0.35,0.32,0.32,0.31,0.31,0.3,0.27,0.25
Kenya,0.74,0.73,0.72,0.71,0.71,0.7,0.7,0.69,0.68,0.68,0.68,0.68,0.68,0.65,0.65,0.65,0.64,0.63,0.61,0.61,0.6,0.6,0.6,0.56
"Korea, Republic of",0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.19,0.19,0.18,0.18,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.13
Kuwait,no data,no data,no data,no data,no data,no data,no data,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.36,0.36,0.36,0.31,0.25,0.26,0.26,0.27,0.28
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,0.59,0.58,0.57,0.54,0.44,0.43,0.43,0.43,0.68,0.68,0.36,0.36,0.35,0.36,0.36,0.35,0.35
Lao P.D.R.,0.7,0.68,0.67,0.66,0.64,0.63,0.62,0.6,0.59,0.58,0.58,0.57,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.51,0.5,0.5,0.49,0.48
Latvia,no data,no data,no data,no data,no data,no data,no data,0.36,0.35,0.31,0.3,0.28,0.26,0.24,0.23,0.22,0.23,0.23,0.23,0.22,0.23,0.2,0.18,0.15
Lesotho,no data,no data,no data,no data,no data,no data,no data,0.63,0.64,0.64,0.64,0.64,0.6,0.59,0.58,0.58,0.58,0.55,0.55,0.55,0.55,0.55,0.54,0.54
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.7,0.7,0.7,0.7,0.71,0.67,0.67,0.67,0.66,0.66,0.65,0.66,0.65,0.65
Libya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.25,0.21,0.2,0.2,0.19,0.19,0.15,0.13,0.13
Lithuania,no data,no data,no data,no data,no data,no data,no data,0.27,0.27,0.26,0.28,0.27,0.26,0.24,0.19,0.17,0.16,0.16,0.17,0.16,0.15,0.14,0.12,0.12
Luxembourg,0.22,0.21,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.12,0.13,0.11
Malawi,0.7,0.7,0.7,0.71,0.71,0.71,0.71,0.71,0.71,0.69,0.68,0.68,0.68,0.67,0.65,0.65,0.64,0.64,0.63,0.61,0.6,0.6,0.6,0.6
Malaysia,0.43,0.42,0.42,0.41,0.39,0.38,0.37,0.37,0.36,0.35,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.29,0.28,0.27,0.25,0.23,0.23
Maldives,0.71,0.69,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.51,0.49,0.47,0.45,0.43,0.36,0.33,0.31,0.29,0.31,0.28,0.26,0.24,0.23
Mali,no data,no data,no data,no data,no data,no data,no data,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.69,0.68,0.67,0.66,0.65,0.65,0.65,0.64
Malta,0.38,0.37,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.29,0.28,0.28,0.27,0.29,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.22
Mauritania,no data,no data,no data,no data,no data,no data,no data,0.79,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.68,0.65,0.64,0.63,0.62,0.62,0.62,0.61,0.61
Mauritius,0.51,0.5,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.36,0.37,0.38,0.39,0.39,0.39,0.39,0.39,0.39
Mexico,0.53,0.53,0.52,0.51,0.51,0.5,0.5,0.49,0.48,0.47,0.48,0.47,0.47,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.37,0.37
Moldova,no data,no data,no data,no data,no data,no data,no data,0.46,0.43,0.4,0.39,0.35,0.33,0.33,0.3,0.27,0.28,0.29,0.29,0.29,0.31,0.29,0.27,0.25
Mongolia,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.44,0.44,0.41,0.4,0.39,0.38,0.41,0.4,0.4,0.39,0.42,0.42,0.42,0.41,0.33,0.32
Morocco,0.81,0.81,0.78,0.77,0.75,0.74,0.73,0.72,0.71,0.7,0.7,0.71,0.56,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.5,0.5,0.5
Mozambique,0.67,0.66,0.66,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.62,0.61,0.6,0.6,0.59,0.59
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.44,0.44,0.4,0.39
Namibia,0.61,0.59,0.58,0.56,0.55,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42
Nepal,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.67,0.67,0.66,0.66,0.65,0.64,0.63,0.63,0.56,0.52,0.51,0.5,0.49,0.48,0.48
Netherlands,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.06
New Zealand,0.28,0.27,0.26,0.24,0.23,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15
Nicaragua,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.59,0.59,0.58,0.55,0.53,0.52,0.52,0.51,0.52,0.51,0.51,0.5,0.49,0.45,0.45,0.45
Niger,0.8,0.81,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.82,0.82,0.82,0.81,0.81,0.73,0.73,0.73,0.73,0.72,0.73,0.72,0.72,0.71,0.71
Norway,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06
Pakistan,0.74,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.75,0.7,0.67,0.64,0.62,0.61,0.6,0.59,0.57,0.57,0.56,0.55,0.54,0.53,0.53,0.53
Panama,0.55,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.47,0.47,0.47,0.47,0.47,0.5,0.5,0.5,0.5,0.5
Papua New Guinea,0.79,0.76,0.73,0.71,0.7,0.69,0.68,0.67,0.67,0.67,0.67,0.66,0.68,0.69,0.69,0.69,0.68,0.68,0.68,0.67,0.67,0.67,0.61,0.61
Paraguay,0.57,0.58,0.58,0.58,0.59,0.59,0.6,0.61,0.61,0.6,0.59,0.6,0.6,0.53,0.52,0.52,0.52,0.51,0.5,0.49,0.49,0.49,0.49,0.47
Peru,0.6,0.59,0.58,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.5,0.48,0.48,0.47,0.46,0.46,0.43,0.42,0.41,0.41,0.41,0.42,0.41,0.41
Philippines,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.46,0.46,0.46,0.47,0.47,0.47,0.45,0.45,0.44,0.44,0.43,0.43,0.42
Poland,0.28,0.27,0.27,0.26,0.26,0.25,0.23,0.22,0.21,0.2,0.19,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13
Portugal,0.3,0.29,0.27,0.26,0.24,0.23,0.22,0.22,0.22,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.14,0.14,0.14,0.13,0.12,0.12,0.11
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.51
Romania,0.43,0.43,0.42,0.41,0.41,0.4,0.41,0.43,0.42,0.41,0.39,0.37,0.36,0.35,0.34,0.33,0.33,0.34,0.33,0.33,0.33,0.33,0.32,0.33
Russian Federation,0.41,0.42,0.42,0.42,0.42,0.42,0.41,0.4,0.4,0.39,0.4,0.39,0.38,0.37,0.35,0.34,0.34,0.31,0.31,0.31,0.3,0.3,0.29,0.28
Rwanda,0.6,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.57,0.55,0.54,0.53,0.49,0.48,0.47,0.47,0.46,0.44,0.43,0.42,0.42,0.41,0.39
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.68,0.67,0.66,0.65,0.64,0.64,0.64,0.64,0.63,0.63,0.28
Senegal,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.62,0.61,0.61,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.53,0.53
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.22,0.18,0.18,0.19,0.19,0.19,0.17,0.17
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.68,0.68,0.68,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.65
Singapore,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.25,0.27,0.28,0.2,0.19,0.16,0.15,0.14,0.11,0.1,0.09,0.1,0.09,0.1,0.09,0.09
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,0.23,0.23,0.24,0.23,0.22,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.16
Slovenia,no data,no data,no data,no data,no data,no data,no data,0.17,0.17,0.17,0.15,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.1,0.08,0.07,0.02,0.01,0.01
South Africa,0.61,0.57,0.54,0.52,0.51,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.41,0.41,0.41,0.4,0.4
Spain,0.21,0.19,0.18,0.17,0.15,0.14,0.14,0.13,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1
Sri Lanka,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.46,0.46,0.46,0.46,0.45,0.44,0.43,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37
Sudan,no data,no data,no data,no data,no data,no data,no data,0.71,0.71,0.7,0.69,0.68,0.68,0.67,0.67,0.65,0.64,0.63,0.63,0.62,0.6,0.6,0.59,0.59
Sweden,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Switzerland,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.02
Syria,0.62,0.61,0.6,0.59,0.58,0.57,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.53,0.53,0.54,0.54,0.54,0.53,0.54,0.54,0.54,0.54,0.53
Tajikistan,no data,no data,no data,no data,no data,no data,no data,0.54,0.53,0.52,0.42,0.42,0.41,0.41,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34
Tanzania,no data,no data,no data,no data,no data,no data,no data,0.64,0.64,0.64,0.63,0.62,0.61,0.61,0.61,0.59,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.55
Thailand,0.49,0.48,0.47,0.47,0.46,0.45,0.44,0.43,0.43,0.43,0.44,0.39,0.39,0.38,0.38,0.37,0.38,0.35,0.35,0.34,0.34,0.32,0.32,0.32
Togo,0.7,0.7,0.7,0.71,0.71,0.72,0.73,0.74,0.74,0.7,0.67,0.67,0.67,0.65,0.65,0.64,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.59
Tonga,0.69,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.47,0.47,0.48,0.48,0.48,0.67,0.47,0.46,0.46
Trinidad and Tobago,0.47,0.44,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.42,0.41,0.41,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.37,0.36,0.36,0.36,0.36
Tunisia,0.57,0.56,0.55,0.53,0.51,0.5,0.48,0.45,0.44,0.4,0.39,0.38,0.37,0.36,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.25
"Türkiye, Republic of",0.63,0.62,0.61,0.62,0.6,0.59,0.58,0.58,0.57,0.53,0.53,0.52,0.51,0.51,0.52,0.51,0.5,0.45,0.44,0.43,0.41,0.37,0.37,0.36
Uganda,0.67,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.65,0.64,0.64,0.62,0.61,0.61,0.6,0.6,0.58,0.58,0.57,0.56,0.56,0.55,0.54,0.54
Ukraine,no data,no data,no data,no data,no data,no data,no data,0.45,0.41,0.38,0.37,0.36,0.36,0.37,0.36,0.36,0.33,0.34,0.34,0.34,0.34,0.33,0.31,0.3
United Arab Emirates,0.68,0.67,0.66,0.65,0.65,0.64,0.63,0.62,0.62,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.34,0.23,0.23,0.22,0.22,0.23,0.23,0.23
United Kingdom,0.29,0.27,0.26,0.25,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18
United States,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.28,0.28
Uruguay,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.37,0.37,0.35,0.34,0.34,0.33,0.31
Venezuela,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.54,0.54,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.47
Vietnam,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31
